,graph,statistic,value
509,PP_0.80_0.15,\shortstack[l]{modularity \\ density},-2.24
510,PP_1.00_0.15,$|V|$,30.0
511,PP_1.00_0.15,$|E|$,134.0
512,PP_1.00_0.15,$\hat{k}$,6.0
513,PP_1.00_0.15,$\hat{o}$,0.0
514,PP_1.00_0.15,$\hat{c}$,0.3896753246753248
515,PP_1.00_0.15,\shortstack[l]{normalized \\ cut},0.6397959471458101
516,PP_1.00_0.15,\shortstack[l]{internal \\ edge \\density},0.25
517,PP_1.00_0.15,significance,
518,PP_1.00_0.15,\shortstack[l]{avarage \\ internal \\degree},4.0
519,PP_1.00_0.15,\shortstack[l]{modularity \\ density},-1.12
520,PP_0.20_0.20,$|V|$,30.0
521,PP_0.20_0.20,$|E|$,99.0
522,PP_0.20_0.20,$\hat{k}$,6.0
523,PP_0.20_0.20,$\hat{o}$,0.0
524,PP_0.20_0.20,$\hat{c}$,0.2040838790838791
525,PP_0.20_0.20,\shortstack[l]{normalized \\ cut},1.0110767065286348
526,PP_0.20_0.20,\shortstack[l]{internal \\ edge \\density},0.05000000000000001
527,PP_0.20_0.20,significance,
528,PP_0.20_0.20,\shortstack[l]{avarage \\ internal \\degree},0.8000000000000002
529,PP_0.20_0.20,\shortstack[l]{modularity \\ density},-6.0
530,PP_0.40_0.20,$|V|$,30.0
531,PP_0.40_0.20,$|E|$,109.0
532,PP_0.40_0.20,$\hat{k}$,6.0
533,PP_0.40_0.20,$\hat{o}$,0.0
534,PP_0.40_0.20,$\hat{c}$,0.24664779664779665
535,PP_0.40_0.20,\shortstack[l]{normalized \\ cut},0.9204454184937539
536,PP_0.40_0.20,\shortstack[l]{internal \\ edge \\density},0.09166666666666666
537,PP_0.40_0.20,significance,51.95955344177856
538,PP_0.40_0.20,\shortstack[l]{avarage \\ internal \\degree},1.4666666666666666
539,PP_0.40_0.20,\shortstack[l]{modularity \\ density},-5.2
540,PP_0.60_0.20,$|V|$,30.0
541,PP_0.60_0.20,$|E|$,126.0
542,PP_0.60_0.20,$\hat{k}$,6.0
543,PP_0.60_0.20,$\hat{o}$,0.0
544,PP_0.60_0.20,$\hat{c}$,0.2923337773337773
545,PP_0.60_0.20,\shortstack[l]{normalized \\ cut},0.801801743827555
546,PP_0.60_0.20,\shortstack[l]{internal \\ edge \\density},0.1625
547,PP_0.60_0.20,significance,127.19469424727664
548,PP_0.60_0.20,\shortstack[l]{avarage \\ internal \\degree},2.6
549,PP_0.60_0.20,\shortstack[l]{modularity \\ density},-3.8400000000000007
550,PP_0.80_0.20,$|V|$,30.0
551,PP_0.80_0.20,$|E|$,134.0
552,PP_0.80_0.20,$\hat{k}$,6.0
553,PP_0.80_0.20,$\hat{o}$,0.0
554,PP_0.80_0.20,$\hat{c}$,0.31429884929884927
555,PP_0.80_0.20,\shortstack[l]{normalized \\ cut},0.7492437410524704
556,PP_0.80_0.20,\shortstack[l]{internal \\ edge \\density},0.19583333333333333
557,PP_0.80_0.20,significance,167.6338522405152
558,PP_0.80_0.20,\shortstack[l]{avarage \\ internal \\degree},3.1333333333333333
559,PP_0.80_0.20,\shortstack[l]{modularity \\ density},-3.2
560,PP_1.00_0.20,$|V|$,30.0
561,PP_1.00_0.20,$|E|$,148.0
562,PP_1.00_0.20,$\hat{k}$,6.0
563,PP_1.00_0.20,$\hat{o}$,0.0
564,PP_1.00_0.20,$\hat{c}$,0.4034189884189884
565,PP_1.00_0.20,\shortstack[l]{normalized \\ cut},0.6861472204091977
566,PP_1.00_0.20,\shortstack[l]{internal \\ edge \\density},0.25
567,PP_1.00_0.20,significance,
568,PP_1.00_0.20,\shortstack[l]{avarage \\ internal \\degree},4.0
569,PP_1.00_0.20,\shortstack[l]{modularity \\ density},-2.2399999999999998
570,PP_0.20_0.25,$|V|$,30.0
571,PP_0.20_0.25,$|E|$,119.0
572,PP_0.20_0.25,$\hat{k}$,6.0
573,PP_0.20_0.25,$\hat{o}$,0.0
574,PP_0.20_0.25,$\hat{c}$,0.31365430865430866
575,PP_0.20_0.25,\shortstack[l]{normalized \\ cut},1.0373201970362462
576,PP_0.20_0.25,\shortstack[l]{internal \\ edge \\density},0.05000000000000001
577,PP_0.20_0.25,significance,
578,PP_0.20_0.25,\shortstack[l]{avarage \\ internal \\degree},0.8000000000000002
579,PP_0.20_0.25,\shortstack[l]{modularity \\ density},-7.6000000000000005
580,PP_0.40_0.25,$|V|$,30.0
581,PP_0.40_0.25,$|E|$,133.0
582,PP_0.40_0.25,$\hat{k}$,6.0
583,PP_0.40_0.25,$\hat{o}$,0.0
584,PP_0.40_0.25,$\hat{c}$,0.34101583601583607
585,PP_0.40_0.25,\shortstack[l]{normalized \\ cut},0.9262627154181676
586,PP_0.40_0.25,\shortstack[l]{internal \\ edge \\density},0.10833333333333334
587,PP_0.40_0.25,significance,72.03845705837644
588,PP_0.40_0.25,\shortstack[l]{avarage \\ internal \\degree},1.7333333333333334
589,PP_0.40_0.25,\shortstack[l]{modularity \\ density},-6.48
590,PP_0.60_0.25,$|V|$,30.0
591,PP_0.60_0.25,$|E|$,148.0
592,PP_0.60_0.25,$\hat{k}$,6.0
593,PP_0.60_0.25,$\hat{o}$,0.0
594,PP_0.60_0.25,$\hat{c}$,0.3773350723350724
595,PP_0.60_0.25,\shortstack[l]{normalized \\ cut},0.8316961180600949
596,PP_0.60_0.25,\shortstack[l]{internal \\ edge \\density},0.1708333333333333
597,PP_0.60_0.25,significance,141.69377756214564
598,PP_0.60_0.25,\shortstack[l]{avarage \\ internal \\degree},2.733333333333333
599,PP_0.60_0.25,\shortstack[l]{modularity \\ density},-5.28
600,PP_0.80_0.25,$|V|$,30.0
601,PP_0.80_0.25,$|E|$,160.0
602,PP_0.80_0.25,$\hat{k}$,6.0
603,PP_0.80_0.25,$\hat{o}$,0.0
604,PP_0.80_0.25,$\hat{c}$,0.42237595737595746
605,PP_0.80_0.25,\shortstack[l]{normalized \\ cut},0.7690832411594107
606,PP_0.80_0.25,\shortstack[l]{internal \\ edge \\density},0.22083333333333335
607,PP_0.80_0.25,significance,
608,PP_0.80_0.25,\shortstack[l]{avarage \\ internal \\degree},3.5333333333333337
609,PP_0.80_0.25,\shortstack[l]{modularity \\ density},-4.32
610,PP_1.00_0.25,$|V|$,30.0
611,PP_1.00_0.25,$|E|$,165.0
612,PP_1.00_0.25,$\hat{k}$,6.0
613,PP_1.00_0.25,$\hat{o}$,0.0
614,PP_1.00_0.25,$\hat{c}$,0.43335303585303586
615,PP_1.00_0.25,\shortstack[l]{normalized \\ cut},0.7334144198156455
616,PP_1.00_0.25,\shortstack[l]{internal \\ edge \\density},0.25
617,PP_1.00_0.25,significance,
618,PP_1.00_0.25,\shortstack[l]{avarage \\ internal \\degree},4.0
619,PP_1.00_0.25,\shortstack[l]{modularity \\ density},-3.5999999999999996
620,SBM_0.2_0.1,$|V|$,68.0
621,SBM_0.2_0.1,$|E|$,276.0
622,SBM_0.2_0.1,$\hat{k}$,7.0
623,SBM_0.2_0.1,$\hat{o}$,0.0
624,SBM_0.2_0.1,$\hat{c}$,0.14944165311812363
625,SBM_0.2_0.1,\shortstack[l]{normalized \\ cut},0.8622868376133306
626,SBM_0.2_0.1,\shortstack[l]{internal \\ edge \\density},0.05535714285714286
627,SBM_0.2_0.1,significance,184.93640295574667
628,SBM_0.2_0.1,\shortstack[l]{avarage \\ internal \\degree},1.965079365079365
629,SBM_0.2_0.1,\shortstack[l]{modularity \\ density},-3.0462962962962967
630,SBM_0.2_0.15,$|V|$,68.0
631,SBM_0.2_0.15,$|E|$,354.0
632,SBM_0.2_0.15,$\hat{k}$,7.0
633,SBM_0.2_0.15,$\hat{o}$,0.0
634,SBM_0.2_0.15,$\hat{c}$,0.1393576723161498
635,SBM_0.2_0.15,\shortstack[l]{normalized \\ cut},0.9396091232478331
636,SBM_0.2_0.15,\shortstack[l]{internal \\ edge \\density},0.05
637,SBM_0.2_0.15,significance,172.6982206010244
638,SBM_0.2_0.15,\shortstack[l]{avarage \\ internal \\degree},1.7682539682539684
639,SBM_0.2_0.15,\shortstack[l]{modularity \\ density},-5.0012345679012356
640,SBM_0.2_0.2,$|V|$,68.0
641,SBM_0.2_0.2,$|E|$,427.0
642,SBM_0.2_0.2,$\hat{k}$,7.0
643,SBM_0.2_0.2,$\hat{o}$,0.0
644,SBM_0.2_0.2,$\hat{c}$,0.19338075052994913
645,SBM_0.2_0.2,\shortstack[l]{normalized \\ cut},0.9894695818715074
646,SBM_0.2_0.2,\shortstack[l]{internal \\ edge \\density},0.04484126984126984
647,SBM_0.2_0.2,significance,152.6851550130474
648,SBM_0.2_0.2,\shortstack[l]{avarage \\ internal \\degree},1.5587301587301587
649,SBM_0.2_0.2,\shortstack[l]{modularity \\ density},-6.8375308641975305
650,SBM_0.2_0.25,$|V|$,68.0
651,SBM_0.2_0.25,$|E|$,532.0
652,SBM_0.2_0.25,$\hat{k}$,7.0
653,SBM_0.2_0.25,$\hat{o}$,0.0
654,SBM_0.2_0.25,$\hat{c}$,0.24334675544407075
655,SBM_0.2_0.25,\shortstack[l]{normalized \\ cut},1.0077705554541414
656,SBM_0.2_0.25,\shortstack[l]{internal \\ edge \\density},0.04801587301587302
657,SBM_0.2_0.25,significance,189.4018798522512
658,SBM_0.2_0.25,\shortstack[l]{avarage \\ internal \\degree},1.7047619047619047
659,SBM_0.2_0.25,\shortstack[l]{modularity \\ density},-8.800740740740741
660,SBM_0.4_0.1,$|V|$,68.0
661,SBM_0.4_0.1,$|E|$,295.0
662,SBM_0.4_0.1,$\hat{k}$,7.0
663,SBM_0.4_0.1,$\hat{o}$,0.0
664,SBM_0.4_0.1,$\hat{c}$,0.1539674377909671
665,SBM_0.4_0.1,\shortstack[l]{normalized \\ cut},0.7282505327873617
666,SBM_0.4_0.1,\shortstack[l]{internal \\ edge \\density},0.08888888888888889
667,SBM_0.4_0.1,significance,345.058552517091
668,SBM_0.4_0.1,\shortstack[l]{avarage \\ internal \\degree},3.1206349206349207
669,SBM_0.4_0.1,\shortstack[l]{modularity \\ density},-1.781851851851852
670,SBM_0.4_0.15,$|V|$,68.0
671,SBM_0.4_0.15,$|E|$,404.0
672,SBM_0.4_0.15,$\hat{k}$,7.0
673,SBM_0.4_0.15,$\hat{o}$,0.0
674,SBM_0.4_0.15,$\hat{c}$,0.17984539489729795
675,SBM_0.4_0.15,\shortstack[l]{normalized \\ cut},0.8178818727437825
676,SBM_0.4_0.15,\shortstack[l]{internal \\ edge \\density},0.09444444444444446
677,SBM_0.4_0.15,significance,420.89511324632497
678,SBM_0.4_0.15,\shortstack[l]{avarage \\ internal \\degree},3.336507936507936
679,SBM_0.4_0.15,\shortstack[l]{modularity \\ density},-3.8060493827160498
680,SBM_0.4_0.2,$|V|$,68.0
681,SBM_0.4_0.2,$|E|$,488.0
682,SBM_0.4_0.2,$\hat{k}$,7.0
683,SBM_0.4_0.2,$\hat{o}$,0.0
684,SBM_0.4_0.2,$\hat{c}$,0.21470986026963979
685,SBM_0.4_0.2,\shortstack[l]{normalized \\ cut},0.8696701330464938
686,SBM_0.4_0.2,\shortstack[l]{internal \\ edge \\density},0.09563492063492063
687,SBM_0.4_0.2,significance,434.77255230358224
688,SBM_0.4_0.2,\shortstack[l]{avarage \\ internal \\degree},3.33968253968254
689,SBM_0.4_0.2,\shortstack[l]{modularity \\ density},-5.558888888888889
690,SBM_0.4_0.25,$|V|$,68.0
691,SBM_0.4_0.25,$|E|$,582.0
692,SBM_0.4_0.25,$\hat{k}$,7.0
693,SBM_0.4_0.25,$\hat{o}$,0.0
694,SBM_0.4_0.25,$\hat{c}$,0.25995101801497444
695,SBM_0.4_0.25,\shortstack[l]{normalized \\ cut},0.9033600911776808
696,SBM_0.4_0.25,\shortstack[l]{internal \\ edge \\density},0.09821428571428571
697,SBM_0.4_0.25,significance,474.2087314467035
698,SBM_0.4_0.25,\shortstack[l]{avarage \\ internal \\degree},3.444444444444444
699,SBM_0.4_0.25,\shortstack[l]{modularity \\ density},-7.356296296296296
700,SBM_0.6_0.1,$|V|$,68.0
701,SBM_0.6_0.1,$|E|$,352.0
702,SBM_0.6_0.1,$\hat{k}$,7.0
703,SBM_0.6_0.1,$\hat{o}$,0.0
704,SBM_0.6_0.1,$\hat{c}$,0.2099745434304257
705,SBM_0.6_0.1,\shortstack[l]{normalized \\ cut},0.6101617183379576
706,SBM_0.6_0.1,\shortstack[l]{internal \\ edge \\density},0.13749999999999998
707,SBM_0.6_0.1,significance,645.0974773865165
708,SBM_0.6_0.1,\shortstack[l]{avarage \\ internal \\degree},4.803174603174604
709,SBM_0.6_0.1,\shortstack[l]{modularity \\ density},-0.5597530864197532
710,SBM_0.6_0.15,$|V|$,68.0
711,SBM_0.6_0.15,$|E|$,471.0
712,SBM_0.6_0.15,$\hat{k}$,7.0
713,SBM_0.6_0.15,$\hat{o}$,0.0
714,SBM_0.6_0.15,$\hat{c}$,0.2433794291060727
715,SBM_0.6_0.15,\shortstack[l]{normalized \\ cut},0.71389413226173
716,SBM_0.6_0.15,\shortstack[l]{internal \\ edge \\density},0.14722222222222223
717,SBM_0.6_0.15,significance,770.8021704160334
718,SBM_0.6_0.15,\shortstack[l]{avarage \\ internal \\degree},5.165079365079365
719,SBM_0.6_0.15,\shortstack[l]{modularity \\ density},-2.5792592592592594
720,SBM_0.6_0.2,$|V|$,68.0
721,SBM_0.6_0.2,$|E|$,553.0
722,SBM_0.6_0.2,$\hat{k}$,7.0
723,SBM_0.6_0.2,$\hat{o}$,0.0
724,SBM_0.6_0.2,$\hat{c}$,0.2648215593553518
725,SBM_0.6_0.2,\shortstack[l]{normalized \\ cut},0.7671657943578404
726,SBM_0.6_0.2,\shortstack[l]{internal \\ edge \\density},0.15099206349206348
727,SBM_0.6_0.2,significance,816.5059825734562
728,SBM_0.6_0.2,\shortstack[l]{avarage \\ internal \\degree},5.273015873015873
729,SBM_0.6_0.2,\shortstack[l]{modularity \\ density},-4.146172839506173
730,SBM_0.6_0.25,$|V|$,68.0
731,SBM_0.6_0.25,$|E|$,654.0
732,SBM_0.6_0.25,$\hat{k}$,7.0
733,SBM_0.6_0.25,$\hat{o}$,0.0
734,SBM_0.6_0.25,$\hat{c}$,0.2924253227735112
735,SBM_0.6_0.25,\shortstack[l]{normalized \\ cut},0.8195166483254422
736,SBM_0.6_0.25,\shortstack[l]{internal \\ edge \\density},0.15238095238095237
737,SBM_0.6_0.25,significance,852.1702805188321
738,SBM_0.6_0.25,\shortstack[l]{avarage \\ internal \\degree},5.311111111111111
739,SBM_0.6_0.25,\shortstack[l]{modularity \\ density},-6.194197530864198
740,SBM_0.8_0.1,$|V|$,68.0
741,SBM_0.8_0.1,$|E|$,417.0
742,SBM_0.8_0.1,$\hat{k}$,7.0
743,SBM_0.8_0.1,$\hat{o}$,0.0
744,SBM_0.8_0.1,$\hat{c}$,0.3162380040384958
745,SBM_0.8_0.1,\shortstack[l]{normalized \\ cut},0.5222680042368247
746,SBM_0.8_0.1,\shortstack[l]{internal \\ edge \\density},0.1902777777777778
747,SBM_0.8_0.1,significance,1051.310811142288
748,SBM_0.8_0.1,\shortstack[l]{avarage \\ internal \\degree},6.647619047619048
749,SBM_0.8_0.1,\shortstack[l]{modularity \\ density},0.7329629629629629
750,SBM_0.8_0.15,$|V|$,68.0
751,SBM_0.8_0.15,$|E|$,535.0
752,SBM_0.8_0.15,$\hat{k}$,7.0
753,SBM_0.8_0.15,$\hat{o}$,0.0
754,SBM_0.8_0.15,$\hat{c}$,0.30654463962149253
755,SBM_0.8_0.15,\shortstack[l]{normalized \\ cut},0.639235609084234
756,SBM_0.8_0.15,\shortstack[l]{internal \\ edge \\density},0.1976190476190476
757,SBM_0.8_0.15,significance,1171.9352744443663
758,SBM_0.8_0.15,\shortstack[l]{avarage \\ internal \\degree},6.907936507936507
759,SBM_0.8_0.15,\shortstack[l]{modularity \\ density},-1.4171604938271605
760,SBM_0.8_0.2,$|V|$,68.0
761,SBM_0.8_0.2,$|E|$,617.0
762,SBM_0.8_0.2,$\hat{k}$,7.0
763,SBM_0.8_0.2,$\hat{o}$,0.0
764,SBM_0.8_0.2,$\hat{c}$,0.32113338126918645
765,SBM_0.8_0.2,\shortstack[l]{normalized \\ cut},0.6918869195650892
766,SBM_0.8_0.2,\shortstack[l]{internal \\ edge \\density},0.20317460317460317
767,SBM_0.8_0.2,significance,1255.9907299954025
768,SBM_0.8_0.2,\shortstack[l]{avarage \\ internal \\degree},7.107936507936508
769,SBM_0.8_0.2,\shortstack[l]{modularity \\ density},-2.859259259259259
770,SBM_0.8_0.25,$|V|$,68.0
771,SBM_0.8_0.25,$|E|$,697.0
772,SBM_0.8_0.25,$\hat{k}$,7.0
773,SBM_0.8_0.25,$\hat{o}$,0.0
774,SBM_0.8_0.25,$\hat{c}$,0.3335125271118259
775,SBM_0.8_0.25,\shortstack[l]{normalized \\ cut},0.7556687705935514
776,SBM_0.8_0.25,\shortstack[l]{internal \\ edge \\density},0.19642857142857142
777,SBM_0.8_0.25,significance,1212.97441654001
778,SBM_0.8_0.25,\shortstack[l]{avarage \\ internal \\degree},6.841269841269842
779,SBM_0.8_0.25,\shortstack[l]{modularity \\ density},-4.901481481481482
780,SBM_1.0_0.1,$|V|$,68.0
781,SBM_1.0_0.1,$|E|$,493.0
782,SBM_1.0_0.1,$\hat{k}$,7.0
783,SBM_1.0_0.1,$\hat{o}$,0.0
784,SBM_1.0_0.1,$\hat{c}$,0.45573035748322555
785,SBM_1.0_0.1,\shortstack[l]{normalized \\ cut},0.4560300227455035
786,SBM_1.0_0.1,\shortstack[l]{internal \\ edge \\density},0.25
787,SBM_1.0_0.1,significance,
788,SBM_1.0_0.1,\shortstack[l]{avarage \\ internal \\degree},8.714285714285714
789,SBM_1.0_0.1,\shortstack[l]{modularity \\ density},2.0856790123456794
790,SBM_1.0_0.15,$|V|$,68.0
791,SBM_1.0_0.15,$|E|$,589.0
792,SBM_1.0_0.15,$\hat{k}$,7.0
793,SBM_1.0_0.15,$\hat{o}$,0.0
794,SBM_1.0_0.15,$\hat{c}$,0.3984501301509764
795,SBM_1.0_0.15,\shortstack[l]{normalized \\ cut},0.566924757199855
796,SBM_1.0_0.15,\shortstack[l]{internal \\ edge \\density},0.25
797,SBM_1.0_0.15,significance,
798,SBM_1.0_0.15,\shortstack[l]{avarage \\ internal \\degree},8.714285714285714
799,SBM_1.0_0.15,\shortstack[l]{modularity \\ density},0.03197530864197548
800,SBM_1.0_0.2,$|V|$,68.0
801,SBM_1.0_0.2,$|E|$,676.0
802,SBM_1.0_0.2,$\hat{k}$,7.0
803,SBM_1.0_0.2,$\hat{o}$,0.0
804,SBM_1.0_0.2,$\hat{c}$,0.38468512042984687
805,SBM_1.0_0.2,\shortstack[l]{normalized \\ cut},0.6393442466511213
806,SBM_1.0_0.2,\shortstack[l]{internal \\ edge \\density},0.25
807,SBM_1.0_0.2,significance,
808,SBM_1.0_0.2,\shortstack[l]{avarage \\ internal \\degree},8.714285714285714
809,SBM_1.0_0.2,\shortstack[l]{modularity \\ density},-1.7760493827160493
810,SBM_1.0_0.25,$|V|$,68.0
811,SBM_1.0_0.25,$|E|$,767.0
812,SBM_1.0_0.25,$\hat{k}$,7.0
813,SBM_1.0_0.25,$\hat{o}$,0.0
814,SBM_1.0_0.25,$\hat{c}$,0.3983642790913112
815,SBM_1.0_0.25,\shortstack[l]{normalized \\ cut},0.6969856845981829
816,SBM_1.0_0.25,\shortstack[l]{internal \\ edge \\density},0.25
817,SBM_1.0_0.25,significance,
818,SBM_1.0_0.25,\shortstack[l]{avarage \\ internal \\degree},8.714285714285714
819,SBM_1.0_0.25,\shortstack[l]{modularity \\ density},-3.68283950617284
