,graph,statistic,value
110,bench_0.35,$|V|$,200.0
111,bench_0.35,$|E|$,1647.0
112,bench_0.35,$\hat{k}$,200.0
113,bench_0.35,$\hat{o}$,10.0
114,bench_0.35,$\hat{c}$,0.295855529519256
115,bench_0.35,\shortstack[l]{normalized \\ cut},1.0016144422866902
116,bench_0.35,\shortstack[l]{internal \\ edge \\density},0.00125
117,bench_0.35,significance,
118,bench_0.35,\shortstack[l]{avarage \\ internal \\degree},0.005
119,bench_0.35,\shortstack[l]{modularity \\ density},-1329.0
120,bench_0.40,$|V|$,200.0
121,bench_0.40,$|E|$,1611.0
122,bench_0.40,$\hat{k}$,200.0
123,bench_0.40,$\hat{o}$,10.0
124,bench_0.40,$\hat{c}$,0.2374808971024781
125,bench_0.40,\shortstack[l]{normalized \\ cut},1.0023837013223413
126,bench_0.40,\shortstack[l]{internal \\ edge \\density},0.0
127,bench_0.40,significance,
128,bench_0.40,\shortstack[l]{avarage \\ internal \\degree},0.0
129,bench_0.40,\shortstack[l]{modularity \\ density},-1330.0
130,bench_0.45,$|V|$,200.0
131,bench_0.45,$|E|$,1556.0
132,bench_0.45,$\hat{k}$,200.0
133,bench_0.45,$\hat{o}$,13.0
134,bench_0.45,$\hat{c}$,0.24845969490813727
135,bench_0.45,\shortstack[l]{normalized \\ cut},1.0024677348519393
136,bench_0.45,\shortstack[l]{internal \\ edge \\density},0.0
137,bench_0.45,significance,
138,bench_0.45,\shortstack[l]{avarage \\ internal \\degree},0.0
139,bench_0.45,\shortstack[l]{modularity \\ density},-1330.0
140,bench_0.50,$|V|$,200.0
141,bench_0.50,$|E|$,1451.0
142,bench_0.50,$\hat{k}$,200.0
143,bench_0.50,$\hat{o}$,10.0
144,bench_0.50,$\hat{c}$,0.17800628548280936
145,bench_0.50,\shortstack[l]{normalized \\ cut},1.0025721121643512
146,bench_0.50,\shortstack[l]{internal \\ edge \\density},0.0
147,bench_0.50,significance,
148,bench_0.50,\shortstack[l]{avarage \\ internal \\degree},0.0
149,bench_0.50,\shortstack[l]{modularity \\ density},-1293.0
150,bench_0.55,$|V|$,200.0
151,bench_0.55,$|E|$,1653.0
152,bench_0.55,$\hat{k}$,200.0
153,bench_0.55,$\hat{o}$,13.0
154,bench_0.55,$\hat{c}$,0.2042997120615706
155,bench_0.55,\shortstack[l]{normalized \\ cut},1.002323286505515
156,bench_0.55,\shortstack[l]{internal \\ edge \\density},0.0
157,bench_0.55,significance,
158,bench_0.55,\shortstack[l]{avarage \\ internal \\degree},0.0
159,bench_0.55,\shortstack[l]{modularity \\ density},-1330.0
160,bench_0.60,$|V|$,200.0
161,bench_0.60,$|E|$,1553.0
162,bench_0.60,$\hat{k}$,200.0
163,bench_0.60,$\hat{o}$,13.0
164,bench_0.60,$\hat{c}$,0.18435620997095006
165,bench_0.60,\shortstack[l]{normalized \\ cut},1.0024724892304393
166,bench_0.60,\shortstack[l]{internal \\ edge \\density},0.0
167,bench_0.60,significance,
168,bench_0.60,\shortstack[l]{avarage \\ internal \\degree},0.0
169,bench_0.60,\shortstack[l]{modularity \\ density},-1330.0
170,bench_0.65,$|V|$,200.0
171,bench_0.65,$|E|$,1524.0
172,bench_0.65,$\hat{k}$,200.0
173,bench_0.65,$\hat{o}$,12.0
174,bench_0.65,$\hat{c}$,0.14889742437515371
175,bench_0.65,\shortstack[l]{normalized \\ cut},1.0025194106309214
176,bench_0.65,\shortstack[l]{internal \\ edge \\density},0.0
177,bench_0.65,significance,
178,bench_0.65,\shortstack[l]{avarage \\ internal \\degree},0.0
179,bench_0.65,\shortstack[l]{modularity \\ density},-1330.0
180,bench_0.70,$|V|$,200.0
181,bench_0.70,$|E|$,1482.0
182,bench_0.70,$\hat{k}$,200.0
183,bench_0.70,$\hat{o}$,11.0
184,bench_0.70,$\hat{c}$,0.13652486426693308
185,bench_0.70,\shortstack[l]{normalized \\ cut},1.0025906123193555
186,bench_0.70,\shortstack[l]{internal \\ edge \\density},0.0
187,bench_0.70,significance,
188,bench_0.70,\shortstack[l]{avarage \\ internal \\degree},0.0
189,bench_0.70,\shortstack[l]{modularity \\ density},-1330.0
190,bench_0.75,$|V|$,200.0
191,bench_0.75,$|E|$,1468.0
192,bench_0.75,$\hat{k}$,200.0
193,bench_0.75,$\hat{o}$,10.0
194,bench_0.75,$\hat{c}$,0.13319707861109303
195,bench_0.75,\shortstack[l]{normalized \\ cut},1.0026152490540614
196,bench_0.75,\shortstack[l]{internal \\ edge \\density},0.0
197,bench_0.75,significance,
198,bench_0.75,\shortstack[l]{avarage \\ internal \\degree},0.0
199,bench_0.75,\shortstack[l]{modularity \\ density},-1330.0
200,bench_0.80,$|V|$,200.0
201,bench_0.80,$|E|$,1607.0
202,bench_0.80,$\hat{k}$,200.0
203,bench_0.80,$\hat{o}$,12.0
204,bench_0.80,$\hat{c}$,0.15313651748129015
205,bench_0.80,\shortstack[l]{normalized \\ cut},1.0016722588463938
206,bench_0.80,\shortstack[l]{internal \\ edge \\density},0.00125
207,bench_0.80,significance,
208,bench_0.80,\shortstack[l]{avarage \\ internal \\degree},0.005
209,bench_0.80,\shortstack[l]{modularity \\ density},-1329.0
210,bench_0.85,$|V|$,200.0
211,bench_0.85,$|E|$,1660.0
212,bench_0.85,$\hat{k}$,200.0
213,bench_0.85,$\hat{o}$,10.0
214,bench_0.85,$\hat{c}$,0.15719128766203586
215,bench_0.85,\shortstack[l]{normalized \\ cut},1.002313513852685
216,bench_0.85,\shortstack[l]{internal \\ edge \\density},0.0
217,bench_0.85,significance,
218,bench_0.85,\shortstack[l]{avarage \\ internal \\degree},0.0
219,bench_0.85,\shortstack[l]{modularity \\ density},-1330.0
220,bench_0.90,$|V|$,200.0
221,bench_0.90,$|E|$,1612.0
222,bench_0.90,$\hat{k}$,200.0
223,bench_0.90,$\hat{o}$,9.0
224,bench_0.90,$\hat{c}$,0.15004676398783828
225,bench_0.90,\shortstack[l]{normalized \\ cut},1.0016648752605668
226,bench_0.90,\shortstack[l]{internal \\ edge \\density},0.00125
227,bench_0.90,significance,
228,bench_0.90,\shortstack[l]{avarage \\ internal \\degree},0.005
229,bench_0.90,\shortstack[l]{modularity \\ density},-1329.0
230,bench_0.95,$|V|$,200.0
231,bench_0.95,$|E|$,1647.0
232,bench_0.95,$\hat{k}$,200.0
233,bench_0.95,$\hat{o}$,9.0
234,bench_0.95,$\hat{c}$,0.15439857033837848
235,bench_0.95,\shortstack[l]{normalized \\ cut},1.0023317290169296
236,bench_0.95,\shortstack[l]{internal \\ edge \\density},0.0
237,bench_0.95,significance,
238,bench_0.95,\shortstack[l]{avarage \\ internal \\degree},0.0
239,bench_0.95,\shortstack[l]{modularity \\ density},-1330.0
